City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
castro,-24.7911,-50.0119,293.56,79.0,1.0,2.97,BR
fortuna,40.5982,-124.1573,284.82,93.0,90.0,5.66,US
mar del plata,-38.0023,-57.5575,293.71,100.0,75.0,1.54,AR
hermanus,-34.4187,19.2345,295.37,44.0,74.0,1.79,ZA
korla,41.7597,86.1469,278.1,62.0,36.0,2.32,CN
avarua,-21.2078,-159.775,298.15,94.0,75.0,1.03,CK
sibolga,1.7427,98.7792,300.23,76.0,79.0,0.67,ID
new norfolk,-42.7826,147.0587,288.71,73.0,94.0,0.9,AU
ballina,-28.8667,153.5667,296.15,68.0,75.0,5.66,AU
busselton,-33.65,115.3333,297.04,86.0,5.0,1.79,AU
hasaki,35.7333,140.8333,285.15,81.0,20.0,2.57,JP
uvinza,-5.1036,30.3911,299.78,68.0,57.0,1.25,TZ
vaini,-21.2,-175.2,296.15,94.0,20.0,4.27,TO
maniitsoq,65.4167,-52.9,257.93,89.0,99.0,5.57,GL
punta arenas,-53.15,-70.9167,283.15,66.0,75.0,6.17,CL
elizabeth city,36.2946,-76.2511,277.15,93.0,90.0,6.17,US
mogzon,51.7435,111.9606,249.55,84.0,79.0,3.21,RU
poum,-20.2333,164.0167,300.47,75.0,14.0,4.69,NC
hamilton,39.1834,-84.5333,265.37,79.0,90.0,6.17,US
georgetown,5.4112,100.3354,305.15,58.0,20.0,3.09,MY
saldanha,-33.0117,17.9442,297.15,33.0,0.0,9.26,ZA
hobart,-42.8794,147.3294,289.15,77.0,75.0,2.57,AU
colares,38.7992,-9.4469,290.37,59.0,0.0,10.29,PT
hithadhoo,-0.6,73.0833,301.72,70.0,7.0,3.36,MV
eureka,40.8021,-124.1637,284.82,98.0,100.0,1.79,US
rikitea,-23.1203,-134.9692,299.61,78.0,98.0,6.21,PF
heidelberg,-26.5048,28.3592,302.04,73.0,41.0,5.08,ZA
airai,-8.9266,125.4092,289.7,100.0,100.0,0.81,TL
vila velha,-20.3297,-40.2925,301.15,69.0,0.0,6.17,BR
olafsvik,64.8945,-23.7142,278.79,83.0,87.0,11.99,IS
san patricio,28.017,-97.5169,265.15,79.0,75.0,8.23,US
vestmannaeyjar,63.4427,-20.2734,280.15,87.0,75.0,9.77,IS
yellowknife,62.456,-114.3525,251.48,77.0,1.0,5.66,CA
khasan,42.4308,130.6434,264.0,84.0,100.0,10.87,RU
pontianak,-0.0333,109.3333,300.15,78.0,40.0,2.06,ID
souillac,-20.5167,57.5167,303.15,66.0,75.0,6.69,MU
severo-kurilsk,50.6789,156.125,267.5,90.0,78.0,3.07,RU
chokurdakh,70.6333,147.9167,247.01,87.0,94.0,1.28,RU
flinders,-34.5833,150.8552,292.59,88.0,100.0,1.79,AU
jacareacanga,-6.2222,-57.7528,296.71,95.0,100.0,1.0,BR
vysokogornyy,50.1167,139.15,258.92,93.0,97.0,2.22,RU
ouadda,8.0777,22.4007,316.05,9.0,75.0,1.26,CF
haines junction,60.7522,-137.5108,236.15,67.0,61.0,0.15,CA
batemans bay,-35.7167,150.1833,292.04,85.0,83.0,1.34,AU
nikolskoye,59.7035,30.7861,262.04,79.0,75.0,3.0,RU
khatanga,71.9667,102.5,235.48,81.0,0.0,2.07,RU
port elizabeth,-33.918,25.5701,296.15,49.0,40.0,14.4,ZA
auburn,47.3073,-122.2284,274.82,86.0,90.0,7.2,US
albany,42.6001,-73.9662,267.59,61.0,98.0,1.72,US
ribeira grande,38.5167,-28.7,285.15,71.0,40.0,6.69,PT
amparafaravola,-17.5833,48.2167,297.45,76.0,100.0,0.6,MG
arraial do cabo,-22.9661,-42.0278,299.15,83.0,75.0,2.57,BR
kodiak,57.79,-152.4072,275.15,93.0,90.0,1.34,US
ponta do sol,32.6667,-17.1,291.15,72.0,40.0,6.17,PT
mount isa,-20.7333,139.5,299.15,69.0,100.0,5.88,AU
mataura,-46.1927,168.8643,282.59,78.0,84.0,2.24,NZ
iqaluit,63.7506,-68.5145,255.15,85.0,90.0,0.8,CA
bilibino,68.0546,166.4372,253.52,88.0,86.0,0.36,RU
hofn,64.2539,-15.2082,279.15,93.0,75.0,6.69,IS
jamestown,42.097,-79.2353,265.93,86.0,90.0,1.92,US
muros,42.7762,-9.0603,293.15,57.0,91.0,5.81,ES
hilo,19.7297,-155.09,293.15,77.0,1.0,1.54,US
kut chap,17.4257,102.5669,304.82,39.0,0.0,1.54,TH
butaritari,3.0707,172.7902,299.81,77.0,77.0,6.64,KI
sao joao da barra,-21.6403,-41.0511,299.15,83.0,0.0,2.06,BR
coquimbo,-29.9533,-71.3436,289.15,82.0,90.0,2.06,CL
atuona,-9.8,-139.0333,298.81,77.0,61.0,4.89,PF
geraldton,-28.7667,114.6,297.15,83.0,0.0,4.63,AU
kholtoson,50.2981,103.3097,253.68,85.0,13.0,1.0,RU
kailua,21.4022,-157.7394,294.15,88.0,1.0,1.54,US
caiaponia,-16.9567,-51.8103,296.05,86.0,100.0,3.15,BR
saint-philippe,-21.3585,55.7679,302.15,65.0,75.0,2.06,RE
cherskiy,68.75,161.3,249.19,90.0,95.0,1.41,RU
upernavik,72.7868,-56.1549,253.2,91.0,98.0,2.93,GL
kortkeros,61.8106,51.5806,252.15,71.0,40.0,3.0,RU
iskateley,67.6803,53.1512,246.71,88.0,100.0,3.95,RU
cabo san lucas,22.8909,-109.9124,288.15,71.0,1.0,0.45,MX
khalilabad,26.775,83.0736,297.15,53.0,1.0,2.06,IN
dikson,73.5069,80.5464,241.27,84.0,100.0,3.84,RU
kahului,20.8947,-156.47,296.15,88.0,90.0,5.14,US
angoche,-16.2325,39.9086,304.31,66.0,100.0,6.61,MZ
talnakh,69.4865,88.3972,240.99,77.0,17.0,3.42,RU
ushuaia,-54.8,-68.3,285.15,58.0,75.0,7.2,AR
karlshus,59.352,10.8723,269.15,80.0,20.0,2.57,NO
yenagoa,4.9247,6.2642,305.95,61.0,73.0,1.37,NG
kununurra,-15.7667,128.7333,302.15,72.0,40.0,2.57,AU
laguna,38.421,-121.4238,283.15,87.0,90.0,4.63,US
narsaq,60.9167,-46.05,269.15,86.0,90.0,3.6,GL
lamesa,32.7376,-101.951,257.04,81.0,81.0,1.34,US
north bend,43.4065,-124.2243,284.26,100.0,90.0,7.2,US
husavik,66.0449,-17.3389,278.15,70.0,20.0,5.66,IS
yar-sale,66.8333,70.8333,248.5,89.0,100.0,6.82,RU
high level,58.5169,-117.136,252.15,77.0,75.0,2.06,CA
nuevo imperial,-13.0754,-76.3172,295.01,70.0,5.0,1.43,PE
