,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code,Hotel Name
4,korla,41.7597,86.1469,278.1,62.0,36.0,2.32,CN,Gulisitan Hotel
8,ballina,-28.8667,153.5667,296.15,68.0,75.0,5.66,AU,Ramada Hotel & Suites by Wyndham Ballina Byron
11,uvinza,-5.1036,30.3911,299.78,68.0,57.0,1.25,TZ,
14,punta arenas,-53.15,-70.9167,283.15,66.0,75.0,6.17,CL,Hotel Dreams Del Estrecho
42,haines junction,60.7522,-137.5108,236.15,67.0,61.0,0.15,CA,Parkside Inn
48,albany,42.6001,-73.9662,267.59,61.0,98.0,1.72,US,
54,mount isa,-20.7333,139.5,299.15,69.0,100.0,5.88,AU,ibis Styles Mt Isa Verona
60,muros,42.7762,-9.0603,293.15,57.0,91.0,5.81,ES,Apartment Av. Castelao
82,ushuaia,-54.8,-68.3,285.15,58.0,75.0,7.2,AR,Albatros Hotel
131,lata,40.1629,-8.3327,292.04,56.0,94.0,6.26,PT,Casa Maquia
135,bethel,41.3712,-73.414,271.48,69.0,90.0,2.57,US,Courtyard by Marriott Danbury
144,port alfred,-33.5906,26.891,296.48,69.0,84.0,5.36,ZA,The Halyards Hotel
152,caronport,50.4501,-105.8179,243.15,69.0,37.0,4.12,CA,Pilgrim Inn
158,ndola,-12.9587,28.6366,299.8,56.0,28.0,4.66,ZM,Chabanga Lodge iSpot
160,kaseda,31.4167,130.3167,285.15,58.0,40.0,9.77,JP,Sun Stay Kaseda
171,taonan,45.3333,122.7833,259.81,65.0,81.0,2.05,CN,Makro Hotel
182,vardo,70.3705,31.1107,272.15,69.0,75.0,7.2,NO,Vardø Hotel AS
192,grand haven,43.0631,-86.2284,260.37,66.0,90.0,5.14,US,Holiday Inn Grand Haven-Spring Lake
221,saint george,37.1041,-113.5841,276.48,60.0,90.0,1.54,US,Best Western Plus Abbey Inn
224,severnyy,50.677,36.5532,264.15,62.0,40.0,4.0,RU,Full House North Mini-Hotel
239,querfurt,51.3833,11.6,275.37,55.0,100.0,4.66,DE,Hotel Zur Sonne
254,nishihara,26.1842,127.7558,291.15,51.0,75.0,6.17,JP,Minshuku Agaihama
258,hirara,24.8,125.2833,291.15,68.0,40.0,3.6,JP,Hotel Atoll Emerald Miyakojima
262,lojt kirkeby,55.0833,9.4667,273.71,51.0,75.0,5.14,DK,Danland Løjt
275,skrunda,56.6833,22.0167,271.15,64.0,75.0,1.56,LV,Skrunda Manor
302,bathsheba,13.2167,-59.5167,299.15,61.0,40.0,9.26,BB,Atlantis Hotel
312,york,40.1254,-77.0,274.15,60.0,90.0,2.06,US,Rodeway Inn
318,tekirdag,40.978,27.5085,274.15,69.0,75.0,9.77,TR,Tekirdağ Yat Hotel
322,tangzhai,34.4328,116.5911,280.93,61.0,100.0,2.53,CN,
336,peniche,39.3558,-9.3811,290.37,63.0,95.0,5.36,PT,Hotel Star inn Peniche
343,susehri,40.1644,38.0867,283.43,50.0,38.0,4.06,TR,Su Vadi Hotel
355,darnah,32.766999999999996,22.6367,284.41,61.0,62.0,9.75,LY,فندق الفردوس
366,shirvan,39.9509,48.8994,282.51,69.0,99.0,3.38,AZ,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
367,kenai,60.5544,-151.2583,267.59,62.0,75.0,3.09,US,Aspen Extended Stay Suites
371,agapovka,53.2973,59.1348,260.15,61.0,40.0,3.0,RU,Gostinitsa Zhkkh
374,cockburn town,21.4612,-71.1419,298.15,69.0,40.0,4.12,TC,Osprey Beach Hotel
379,jumla,29.2747,82.1838,279.9,58.0,72.0,1.85,NP,"अन्नी घर, जुम्ला - Anni Ghar"
390,sao filipe,14.8961,-24.4956,296.52,63.0,85.0,3.0,CV,Tortuga B&B
395,athabasca,54.7169,-113.2854,246.15,69.0,89.0,3.09,CA,Athabasca Lodge Motel
400,oistins,13.0667,-59.5333,299.15,61.0,40.0,9.26,BB,Butterfly Beach Hotel
426,itoman,26.1247,127.6694,291.15,59.0,40.0,8.23,JP,Southern Beach Hotel & Resort Okinawa
444,constantine,36.365,6.6147,280.15,61.0,75.0,1.03,DZ,Grand Hotel Cirta
446,kaitangata,-46.2817,169.8464,283.71,67.0,75.0,2.68,NZ,Kaitangata Motor Camp
449,plettenberg bay,-34.0527,23.3716,293.62,56.0,32.0,7.64,ZA,Thanda Vista B&B
450,ronne,55.1009,14.7066,274.15,69.0,100.0,5.66,DK,Griffen Spa Hotel
459,westport,41.1415,-73.3579,274.15,60.0,90.0,4.12,US,Norwalk Inn
460,byron bay,-28.65,153.6167,296.15,68.0,75.0,5.66,AU,Backpackers Inn on the Beach
478,rawson,-43.3002,-65.1023,288.0,54.0,66.0,2.85,AR,Hosteria Sampedro
480,ilulissat,69.2167,-51.1,260.15,56.0,75.0,5.66,GL,Hotel Arctic
497,nago,26.5881,127.9761,290.93,63.0,75.0,5.66,JP,Hotel Yugaf Inn Okinawa
501,san juan,-31.5375,-68.5364,292.97,67.0,58.0,6.31,AR,Hotel Provincial
520,qasigiannguit,68.8193,-51.1922,260.15,56.0,75.0,5.66,GL,Hotel Discobay
532,asau,46.4333,26.4,270.93,59.0,96.0,2.2,RO,Casa Mika Ciobanus
546,xining,36.6167,101.7667,274.51,68.0,100.0,1.04,CN,Super Leisure Hotel
